ลำดับ,ภูมิภาค,รหัสจังหวัด,จังหวัด (ไทย),จังหวัด (อังกฤษ),รหัสอำเภอ,อำเภอ/เขต (ไทย),อำเภอ/เขต (อังกฤษ),รหัสตำบล,ตำบล/แขวง (ไทย),ตำบล/แขวง (อังกฤษ),รหัสไปรษณีย์
110,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1028,สาทร,Sathon,102801,ทุ่งวัดดอน,Thung Wat Don,10120
111,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1028,สาทร,Sathon,102802,ยานนาวา,Yan Nawa,10120
112,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1028,สาทร,Sathon,102803,ทุ่งมหาเมฆ,Thung Maha Mek,10120
113,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1029,บางซื่อ,Bang Su,102901,บางซื่อ,Bang Sue,10800
114,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1029,บางซื่อ,Bang Su,102902,วงศ์สว่าง,Wong Sawang,10800
115,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1030,จตุจักร,Chatuchak,103001,ลาดยาว,Lat Yao,10900
116,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1030,จตุจักร,Chatuchak,103002,เสนานิคม,Sena Nikhom,10900
117,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1030,จตุจักร,Chatuchak,103003,จันทรเกษม,Chan Kasem,10900
118,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1030,จตุจักร,Chatuchak,103004,จอมพล,Chom Phon,10900
119,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1030,จตุจักร,Chatuchak,103005,จตุจักร,Chatuchak,10900
120,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1031,บางคอแหลม,Bang Kho Laem,103101,บางคอแหลม,Bang Kho Laem,10120
121,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1031,บางคอแหลม,Bang Kho Laem,103102,วัดพระยาไกร,Wat Phraya Krai,10120
122,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1031,บางคอแหลม,Bang Kho Laem,103103,บางโคล่,Bang Khlo,10120
123,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1032,ประเวศ,Prawet,103201,ประเวศ,Prawet,10250
124,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1032,ประเวศ,Prawet,103202,หนองบอน,Nong Bon,10250
125,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1032,ประเวศ,Prawet,103203,ดอกไม้,Dok Mai,10250
126,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1033,คลองเตย,Khlong Toei,103301,คลองเตย,Khlong Toei,10110
127,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1033,คลองเตย,Khlong Toei,103302,คลองตัน,Khlong Tan,10110
128,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1033,คลองเตย,Khlong Toei,103303,พระโขนง,Phra Khanong,10110
129,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1034,สวนหลวง,Suan Luang,103401,สวนหลวง,Suan Luang,10250
130,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1034,สวนหลวง,Suan Luang,103402,อ่อนนุช,On Nut,10250
131,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1034,สวนหลวง,Suan Luang,103403,พัฒนาการ,Phatthanakan,10250
132,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1035,จอมทอง,Chom Thong,103501,บางขุนเทียน,Bang Khun Thian,10150
133,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1035,จอมทอง,Chom Thong,103502,บางค้อ,Bang Kho,10150
134,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1035,จอมทอง,Chom Thong,103503,บางมด,Bang Mot,10150
135,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1035,จอมทอง,Chom Thong,103504,จอมทอง,Chom Thong,10150
136,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1036,ดอนเมือง,Don Mueang,103602,สีกัน,Si Kan,10210
137,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1036,ดอนเมือง,Don Mueang,103604,ดอนเมือง,Don Mueang,10210
138,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1036,ดอนเมือง,Don Mueang,103605,สนามบิน,Sanambin,10210
